Conversation_ID,Room_ID,Day,State,Priority,Notify
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,0,1
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,1,1
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,2,1
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,3,1
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,4,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,5,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,6,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,7,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,8,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,9,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,10,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,11,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,12,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,13,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,14,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,15,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,16,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,17,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,18,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,19,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,20,0
DAY1_CHAT_M,ROOM_CLASS_GROUP,1,Subway,21,0
